LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedST,TyreLife,Compound,Driver,LapNumber,PitInTime,PitOutTime,TrackStatus,Year,Race
96.296,30.916,41.661,23.719,287.0,5.0,SOFT,VER,2.0,,,1,2024,Bahrain
96.753,30.999,41.966,23.788,290.0,6.0,SOFT,VER,3.0,,,1,2024,Bahrain
96.647,30.931,41.892,23.824,290.0,7.0,SOFT,VER,4.0,,,1,2024,Bahrain
97.173,31.255,42.056,23.862,289.0,8.0,SOFT,VER,5.0,,,1,2024,Bahrain
97.092,31.041,42.187,23.864,296.0,9.0,SOFT,VER,6.0,,,1,2024,Bahrain
97.038,31.015,42.118,23.905,291.0,10.0,SOFT,VER,7.0,,,1,2024,Bahrain
97.024,31.041,42.077,23.906,291.0,11.0,SOFT,VER,8.0,,,1,2024,Bahrain
97.229,31.1,42.166,23.963,292.0,12.0,SOFT,VER,9.0,,,1,2024,Bahrain
97.045,30.966,42.091,23.988,292.0,15.0,SOFT,VER,12.0,,,1,2024,Bahrain
97.03,30.964,42.055,24.011,292.0,16.0,SOFT,VER,13.0,,,1,2024,Bahrain
97.028,30.938,42.042,24.048,293.0,17.0,SOFT,VER,14.0,,,1,2024,Bahrain
97.011,30.887,42.058,24.066,293.0,18.0,SOFT,VER,15.0,,,1,2024,Bahrain
97.168,31.048,42.032,24.088,292.0,19.0,SOFT,VER,16.0,,,1,2024,Bahrain
99.896,31.006,42.06,26.83,293.0,20.0,SOFT,VER,17.0,0 days 01:27:30.291000,,1,2024,Bahrain
117.854,52.815,41.511,23.528,212.0,1.0,HARD,VER,18.0,,0 days 01:27:55.379000,1,2024,Bahrain
95.283,30.628,41.162,23.493,288.0,2.0,HARD,VER,19.0,,,1,2024,Bahrain
95.16,30.585,41.1,23.475,291.0,3.0,HARD,VER,20.0,,,1,2024,Bahrain
95.316,30.576,41.24,23.5,293.0,4.0,HARD,VER,21.0,,,1,2024,Bahrain
95.204,30.56,41.142,23.502,294.0,5.0,HARD,VER,22.0,,,1,2024,Bahrain
95.216,30.553,41.145,23.518,294.0,6.0,HARD,VER,23.0,,,1,2024,Bahrain
95.289,30.548,41.257,23.484,294.0,7.0,HARD,VER,24.0,,,1,2024,Bahrain
95.342,30.518,41.282,23.542,295.0,8.0,HARD,VER,25.0,,,1,2024,Bahrain
95.223,30.522,41.14,23.561,295.0,9.0,HARD,VER,26.0,,,1,2024,Bahrain
95.581,30.649,41.338,23.594,294.0,10.0,HARD,VER,27.0,,,1,2024,Bahrain
95.477,30.588,41.272,23.617,293.0,11.0,HARD,VER,28.0,,,1,2024,Bahrain
95.793,30.679,41.485,23.629,293.0,12.0,HARD,VER,29.0,,,1,2024,Bahrain
95.771,30.657,41.47,23.644,294.0,13.0,HARD,VER,30.0,,,1,2024,Bahrain
95.679,30.635,41.435,23.609,295.0,14.0,HARD,VER,31.0,,,1,2024,Bahrain
95.886,30.669,41.519,23.698,296.0,15.0,HARD,VER,32.0,,,1,2024,Bahrain
95.863,30.69,41.459,23.714,295.0,16.0,HARD,VER,33.0,,,1,2024,Bahrain
96.133,30.685,41.661,23.787,296.0,17.0,HARD,VER,34.0,,,1,2024,Bahrain
96.018,30.727,41.557,23.734,295.0,18.0,HARD,VER,35.0,,,1,2024,Bahrain
96.205,30.794,41.561,23.85,297.0,19.0,HARD,VER,36.0,,,1,2024,Bahrain
99.234,30.877,41.634,26.723,297.0,20.0,HARD,VER,37.0,0 days 01:59:47.796000,,1,2024,Bahrain
116.445,51.526,41.562,23.357,217.0,1.0,SOFT,VER,38.0,,0 days 02:00:12.014000,1,2024,Bahrain
92.608,29.741,39.916,22.951,299.0,2.0,SOFT,VER,39.0,,,1,2024,Bahrain
96.589,31.014,42.023,23.552,275.0,3.0,SOFT,VER,40.0,,,1,2024,Bahrain
95.29,30.697,41.281,23.312,292.0,4.0,SOFT,VER,41.0,,,1,2024,Bahrain
94.667,30.477,40.996,23.194,294.0,5.0,SOFT,VER,42.0,,,1,2024,Bahrain
94.151,30.132,40.772,23.247,296.0,6.0,SOFT,VER,43.0,,,1,2024,Bahrain
94.531,30.348,40.805,23.378,293.0,7.0,SOFT,VER,44.0,,,1,2024,Bahrain
94.249,30.18,40.825,23.244,295.0,8.0,SOFT,VER,45.0,,,1,2024,Bahrain
94.193,30.301,40.682,23.21,297.0,9.0,SOFT,VER,46.0,,,1,2024,Bahrain
94.239,30.267,40.704,23.268,295.0,10.0,SOFT,VER,47.0,,,1,2024,Bahrain
94.35,30.245,40.738,23.367,297.0,11.0,SOFT,VER,48.0,,,1,2024,Bahrain
94.403,30.246,40.804,23.353,298.0,12.0,SOFT,VER,49.0,,,1,2024,Bahrain
94.783,30.229,40.928,23.626,298.0,13.0,SOFT,VER,50.0,,,1,2024,Bahrain
94.34,30.003,40.834,23.503,314.0,14.0,SOFT,VER,51.0,,,1,2024,Bahrain
94.906,30.333,40.919,23.654,299.0,15.0,SOFT,VER,52.0,,,1,2024,Bahrain
95.6,30.528,41.382,23.69,300.0,16.0,SOFT,VER,53.0,,,1,2024,Bahrain
95.334,30.427,41.227,23.68,301.0,17.0,SOFT,VER,54.0,,,1,2024,Bahrain
95.184,30.493,41.22,23.471,296.0,18.0,SOFT,VER,55.0,,,1,2024,Bahrain
94.671,30.256,40.87,23.545,297.0,19.0,SOFT,VER,56.0,,,1,2024,Bahrain
94.923,30.384,40.91,23.629,296.0,20.0,SOFT,VER,57.0,,,1,2024,Bahrain
96.541,30.678,41.867,23.996,302.0,5.0,SOFT,PER,2.0,,,1,2024,Bahrain
97.297,30.596,42.478,24.223,315.0,6.0,SOFT,PER,3.0,,,1,2024,Bahrain
97.722,30.716,42.623,24.383,314.0,7.0,SOFT,PER,4.0,,,1,2024,Bahrain
98.044,30.997,42.754,24.293,320.0,8.0,SOFT,PER,5.0,,,1,2024,Bahrain
97.823,30.843,42.702,24.278,320.0,9.0,SOFT,PER,6.0,,,1,2024,Bahrain
97.821,31.013,42.682,24.126,316.0,10.0,SOFT,PER,7.0,,,1,2024,Bahrain
97.838,31.305,42.428,24.105,302.0,11.0,SOFT,PER,8.0,,,1,2024,Bahrain
97.596,31.145,42.395,24.056,302.0,12.0,SOFT,PER,9.0,,,1,2024,Bahrain
97.836,31.054,42.473,24.309,300.0,14.0,SOFT,PER,11.0,,,1,2024,Bahrain
100.277,30.891,42.506,26.88,312.0,15.0,SOFT,PER,12.0,0 days 01:19:34.991000,,1,2024,Bahrain
117.624,51.896,41.803,23.925,217.0,1.0,HARD,PER,13.0,,0 days 01:19:59.484000,1,2024,Bahrain
95.606,30.063,41.855,23.688,320.0,2.0,HARD,PER,14.0,,,1,2024,Bahrain
96.815,30.785,41.795,24.235,299.0,3.0,HARD,PER,15.0,,,1,2024,Bahrain
95.783,30.569,41.558,23.656,316.0,4.0,HARD,PER,16.0,,,1,2024,Bahrain
96.454,30.922,41.823,23.709,294.0,5.0,HARD,PER,17.0,,,1,2024,Bahrain
96.311,30.803,41.835,23.673,291.0,6.0,HARD,PER,18.0,,,1,2024,Bahrain
96.038,30.702,41.633,23.703,298.0,7.0,HARD,PER,19.0,,,1,2024,Bahrain
96.278,30.918,41.686,23.674,298.0,8.0,HARD,PER,20.0,,,1,2024,Bahrain
96.165,30.849,41.61,23.706,298.0,9.0,HARD,PER,21.0,,,1,2024,Bahrain
96.037,30.824,41.536,23.677,295.0,10.0,HARD,PER,22.0,,,1,2024,Bahrain
96.249,30.84,41.729,23.68,299.0,11.0,HARD,PER,23.0,,,1,2024,Bahrain
96.211,30.792,41.687,23.732,299.0,12.0,HARD,PER,24.0,,,1,2024,Bahrain
96.344,30.878,41.719,23.747,297.0,13.0,HARD,PER,25.0,,,1,2024,Bahrain
96.347,30.938,41.666,23.743,298.0,14.0,HARD,PER,26.0,,,1,2024,Bahrain
96.233,30.853,41.543,23.837,299.0,15.0,HARD,PER,27.0,,,1,2024,Bahrain
96.226,30.929,41.588,23.709,299.0,16.0,HARD,PER,28.0,,,1,2024,Bahrain
96.437,30.926,41.749,23.762,298.0,17.0,HARD,PER,29.0,,,1,2024,Bahrain
96.313,30.916,41.643,23.754,299.0,18.0,HARD,PER,30.0,,,1,2024,Bahrain
96.339,30.843,41.752,23.744,299.0,19.0,HARD,PER,31.0,,,1,2024,Bahrain
96.276,30.856,41.671,23.749,300.0,20.0,HARD,PER,32.0,,,1,2024,Bahrain
96.564,30.907,41.752,23.905,299.0,21.0,HARD,PER,33.0,,,1,2024,Bahrain
96.378,30.84,41.734,23.804,301.0,22.0,HARD,PER,34.0,,,1,2024,Bahrain
