epoch,train_loss,val_loss,train_mae,val_mae,lr
1,1.4298930158630347,1.1045681399958474,0.6566379673945637,0.6341931756053653,0.001
2,1.3743998573039666,1.0496164400662695,0.638434111024625,0.6062360073838915,0.001
3,1.3492922378233827,1.041368377634457,0.6313416157096339,0.5946381287915367,0.001
4,1.3115067152550426,1.0075302522097316,0.628779171945188,0.6100534928696496,0.001
5,1.2871785269568141,0.9914257422089576,0.6274329545779731,0.586927512713841,0.001
6,1.2600850005881092,0.9803196832537651,0.6211094987659028,0.594273224898747,0.001
7,1.247068826192484,0.9708283130611692,0.6200793614021887,0.5805998014552253,0.001
8,1.2291293512708463,0.9651740791542189,0.6152539299890256,0.5945238134690694,0.001
9,1.2073637318496886,0.9517695635557175,0.6133357826322793,0.5869410961866379,0.001
10,1.2095695293178192,0.9507149677191462,0.6153341021400671,0.5748337673289435,0.001
11,1.1896372586964798,0.9506963591490473,0.6094725522370384,0.5785731204918453,0.001
12,1.1902893303682247,0.9431466245225497,0.6091306005803921,0.5753559121063777,0.001
13,1.1669199309600429,0.9424269735813141,0.6053305323512409,0.5942950444562095,0.001
14,1.1622901785487947,0.9403495816247803,0.6071106730558621,0.5786974217210498,0.001
15,1.149455030886129,0.9334224185773304,0.6024362542949164,0.5818848086254937,0.001
16,1.1502181949516455,0.9264675234045301,0.6031592341657644,0.5759941386325019,0.001
17,1.1450662554833835,0.9307277645383563,0.6021901575711589,0.5750854019607816,0.001
18,1.1377230493214945,0.9136154630354473,0.6003486027542394,0.5728636711835862,0.001
19,1.1292003631210936,0.9429863548704556,0.6002269648134518,0.5724453449249267,0.001
20,1.1364043527327405,0.880098971937384,0.5971709605032643,0.5780904527221408,0.001
21,1.114814907026748,0.9424296468496323,0.5961462304995845,0.574292151417051,0.001
22,1.1231035578746003,0.8905074946582318,0.5936497534616306,0.5744295912129539,0.001
23,1.1117209942576984,0.9090376834784235,0.5950785245948707,0.5750850330506052,0.001
24,1.1060192303154797,0.8774659940174647,0.5937039655999253,0.5747438422271184,0.001
25,1.0744946101031745,0.8455973101513726,0.5906775588044724,0.5652177572250366,0.001
26,1.061209136304764,0.8738149468387876,0.5903663326757023,0.5695395422833306,0.001
27,1.0727340107718215,0.8971993735858372,0.5892806931044727,0.5773538474525725,0.001
28,1.0788910193755603,0.8376884256090437,0.5890730213814269,0.5752036605562483,0.001
29,1.041694691958138,0.8341570832899639,0.5874377959452498,0.5767832743270057,0.001
30,1.052006068606727,0.8166076466441154,0.5869727575550445,0.564410165803773,0.001
31,1.0476573656161372,0.8622292765549251,0.5857941195987665,0.570843146102769,0.001
32,1.022664875839465,0.8251323902181217,0.584474425631971,0.5677800093378339,0.001
33,1.028919779168912,0.9190154833453043,0.5834890228871721,0.5743475117853709,0.001
34,1.0364594140563148,0.9528426202280181,0.5826938927364045,0.5754095341478075,0.0005
35,0.9803646225898791,0.8330024134899888,0.5751024154238046,0.5658590482813971,0.0005
36,0.9534351565776923,0.8797150379845075,0.5717534960839695,0.5772933257477624,0.0005
37,0.9438232893760974,0.9174784556031227,0.5700383263464552,0.5728634306362697,0.0005
38,0.913511682908756,0.8508331102984292,0.5693906907456371,0.5712605306080409,0.00025
